"E_0";"E_1";"E_2";"E_3";"E_4";"E_5";"E_6";"D_0";"D_1";"D_2";"D_3";"D_4";"D_5";"D_6";"D_7";"Rho_0";"Fpos_0";"Fnorm_0"
-1.2828852904549808e+00;1.8840276209992552e+00;8.6862348993794844e-02;3.3361445212492802e-01;1.3066504225488096e+00;-7.7570946216585968e-01;6.8132578684208178e-01;-6.5729135822826346e-01;5.6155267476423065e-01;-1.0653464697700255e+00;-2.9650081707597586e-01;1.1184368752710327e+00;7.0390681153543788e-01;1.1235299900324089e+00;-1.6961344114654293e+00;5.5327862464260225e-01;-7.0640893243107516e-01;-1.2330328826563044e+00
-1.3117811154633410e+00;-3.4130407112511629e-01;-5.4039337272373078e-01;1.7750044851318811e+00;8.8982569039477066e-01;3.3847677849287511e-01;-1.0034863237913823e+00;-4.8844470005131962e-01;7.9469635827992757e-01;-1.0773079682482627e+00;9.8594546106295471e-03;1.0958423712506311e+00;7.8279687951648658e-01;-4.2819035534948986e-02;3.8884185783983916e-01;-1.1365049525644593e+00;1.1605661000089802e+00;-1.0668338321605157e+00
-9.0783826580494886e-02;1.3643088894799322e+00;-1.1469115594350709e+00;5.2950788880695387e-01;-4.1351911292137616e-01;-9.7910256755623837e-01;1.5527807212602409e+00;-8.8547641175711261e-02;-3.1496902241224012e-01;6.4375968643033132e-02;-3.8331392321933500e-01;4.7679920293036732e-01;-1.1246420702174950e-01;1.4253291742162713e-01;-9.5975923665590657e-01;9.6953274296940761e-01;-6.7505258360722675e-01;7.4645444038599085e-01
9.9579322591655706e-01;5.1312191503406079e-01;9.6392497122561330e-02;1.5215930333793681e-01;8.0383444774697044e-01;-2.3734564727083612e-01;5.6784273991497058e-01;-2.1180951980026008e+00;8.3328093192138586e-01;-8.3357867232590976e-01;1.9078149053903626e-01;9.9448251744843286e-01;1.0257793106078901e+00;1.7631325304058911e+00;1.0499506039396598e+00;1.2148796338903316e+00;-1.5662435301218493e-02;9.3072231977011810e-01
-1.3945281896393122e-01;7.9232889515025040e-01;-1.8314416688816559e-01;-1.6359399348908263e+00;-1.3856075208191505e+00;2.0689544409874490e+00;-1.4601513664674732e+00;-8.6263243358421915e-01;2.7204667224265205e-01;1.5010929799957333e+00;-7.6009531736664926e-01;3.8430719830771965e-03;-1.7404671604000264e+00;-5.2013324644170911e-01;4.9204307676651698e-01;-6.8881716500200318e-01;1.3353800202892130e+00;-2.4008565059276563e+00
-5.6020560003784747e-01;-1.1062391909518880e-01;-3.4061101041505454e-01;1.1640138689976551e+00;-4.2015758546334915e-02;-1.2484610648608936e+00;4.4350462856160316e-01;6.5482911201669081e-01;5.5033944908995880e-01;-3.6552946653733909e-01;3.5186293793456869e-01;-6.7652676089494690e-01;-1.9392344529978964e-01;4.2154414834828527e-02;6.7403763226946478e-01;1.8412809365039129e+00;3.0376179149645466e-01;-1.7942344683280382e+00
4.4548969729905191e-01;1.8551655400677533e-02;-9.1273699710232831e-02;-5.4765300741862621e-01;1.5592535190058707e+00;-2.2816161231096324e+00;-1.8956421602994760e+00;-5.8577530807741007e-01;-4.3287105680486271e-01;-2.1675304793872230e+00;-8.9109530266553139e-01;1.4993367038666114e+00;-1.6724669798112530e+00;1.1189357439910832e+00;-4.2198843071628650e-01;-1.3137430685484949e-01;-1.3550975177428164e+00;-6.7911606281451087e-01
3.2292503034661274e-01;1.7866177516201991e+00;-7.4753201074134856e-01;1.6138888154950221e-01;-7.7213754144880864e-01;1.3535871678315605e+00;-6.6695378496099578e-01;6.3728028644347756e-01;-3.3158644138069421e-01;-4.2542271011001065e-01;5.1928839279863741e-02;-1.0250823569775114e+00;1.5630349490717459e+00;-1.0834180244556499e+00;-8.6920084532379716e-01;1.2430871864340118e+00;-5.7692117685709177e-01;1.8592663599893677e+00
4.4578529818450985e-01;-1.0426823445233123e-03;1.0680111070188194e+00;8.2994675153174080e-01;-8.4427170582235622e-01;1.2231904353364058e+00;5.7969803942021170e-01;-6.9004764104979910e-02;-1.4692923204013235e+00;-5.2131033353698963e-01;-7.6977772075953543e-01;-1.3163098056225878e-01;9.0817016396493144e-01;4.7838742200623829e-01;-1.3714084326212614e-01;1.1026255045622082e+00;-1.0470124093025434e-02;-8.8864897527332676e-01
-1.0380765948630941e+00;-4.9567609682932896e-02;3.9711250131755260e-01;-8.4665793879960871e-01;6.3298403764276201e-01;-1.9248033933022962e-01;-1.2312381583018575e+00;2.7404050595479496e-01;1.9926005336363921e+00;1.7517810415435666e+00;-1.2522961854311891e+00;-3.2371557830899467e-01;6.3021993424588763e-01;1.5474862678847534e+00;-1.0502674114224440e+00;-1.0104143995758796e+00;9.6860325068593911e-01;-3.5420210526044532e-01
-8.5671227802084471e-01;1.1304112953301684e+00;1.3632495685479034e+00;9.4301384252349263e-01;-2.6923133053717668e-01;-4.8576712982227210e-01;7.2903956959461047e-01;-6.6068342890535292e-01;3.1449349284997791e-02;-3.3287555018573493e-02;1.5115606984970147e+00;1.7218609318163169e+00;2.3605467471687017e-01;1.6724917055915656e+00;3.1408255475886315e-01;6.9043368960633256e-01;-7.0318216849588111e-01;-5.7907820510133501e-01
4.7361691718840149e-01;-1.2264360630557063e+00;3.9126815849287444e-01;1.8465141352978356e+00;-7.8220285911042853e-02;-6.8278860881589554e-01;-4.0986080870175257e-01;1.2188800083727434e+00;-2.4902213305014009e+00;5.5214354787880698e-02;-1.1436525309183858e+00;-2.9228247841843974e-01;1.0143128470349525e+00;7.3835860247676688e-02;-2.0874552032841440e-01;1.6922265093580069e+00;-6.4008343004278845e-01;6.6635219680417013e-01
-1.2549774541256004e-01;5.4938906441627022e-01;-5.0642265233174422e-01;-8.5146672648360000e-01;9.7143803881160461e-03;7.6233932661550563e-01;-1.6555938527203615e+00;7.0126191886160549e-01;-8.2067716083816700e-01;-1.3076863053215169e+00;-1.8897546153005590e-01;8.4305737367551792e-01;1.9879980098688201e+00;-6.8717980822908709e-01;5.8102892115340143e-01;-1.7656395366104742e+00;-4.9734025443211999e-01;1.4428946455421485e+00
3.5141776801611424e-01;9.6965430146831705e-02;4.9327219493544461e-01;1.3306896510123545e-01;1.2411425400702476e-01;-9.8371593766855969e-01;4.5826082446653732e-01;-1.3877926810502521e+00;5.4216847640625809e-01;1.5333377194051478e+00;-1.0118190191465426e+00;4.8349573636831639e-01;-7.1917810155730955e-01;-1.2405245730343961e+00;-1.6448891750588127e-01;8.1287225056766899e-01;-1.4472992009838512e-01;4.9090313671288027e-01
1.7823586399387168e+00;5.4801507654979520e-01;1.2815600067958977e+00;7.2396215452283241e-01;-4.8469765310933388e-01;2.9259965948041433e-01;7.5180858804111617e-01;-2.6003327522351949e+00;1.0971975195641697e+00;6.7659109501721304e-01;-3.8658854854570873e-01;-9.8610624121211266e-01;7.7054384859500713e-01;-2.5343911560891459e+00;6.1626486376991685e-01;-2.0117913730871360e+00;1.0486237727159975e+00;-1.3024805387872043e+00
7.0207359297042998e-02;1.4685017513459235e+00;-8.8904416809411280e-01;-8.7702428132906052e-01;-1.3893645095980633e+00;6.6667858288199844e-01;2.1755826797786151e+00;1.0499416963545025e+00;2.6918595899121267e-01;-1.2551127723469846e-01;3.9901529449527445e-01;-1.0657868954934258e-01;5.5128890582813228e-01;-1.2904860726427960e+00;-2.7002478267625041e-01;-1.3685050979414375e+00;-6.7228602845933882e-01;-7.1039566677004029e-01
-7.8136646023471967e-01;-2.6994317000547627e+00;-3.3522653259929741e-01;1.7633924272024543e-01;-1.3576647713241770e+00;-1.1837172226266810e+00;-7.7120699631907305e-02;1.4852997257227936e+00;-7.4863637936837180e-01;6.6962272429596770e-01;2.5084764017422834e+00;2.3151564739761765e+00;-3.1763854020721544e-01;6.0911563490554788e-01;6.8802694028064493e-01;5.7281963212142295e-01;-1.0094383557641187e+00;-6.3928126484072889e-01
-7.2153343201919318e-01;-6.5888663372497991e-01;-1.1407912028947613e+00;-2.5884541086932761e-01;-8.4746460778741761e-01;-5.3667427207773366e-01;-2.8994429296263013e-01;-3.1498969292513155e+00;2.7001468787739608e-01;9.7133356846381269e-01;4.4207944644978070e-01;8.2947467410721454e-01;-6.4066479862813730e-01;2.4200671429511222e-01;-8.8601586094128459e-01;1.1776386192205897e+00;-2.1681378458917613e-01;-5.2787330290643686e-01
-2.4122348956683715e-01;-2.4598721244347388e+00;-1.1604577042139406e+00;-2.9949329701093758e-01;1.7588063562797410e-02;-3.9440904641839386e-01;-8.3348512127592367e-01;-4.9124651111402540e-01;-1.6733315830243803e-01;1.1486872081836166e+00;2.2229918161810707e+00;1.9801815656501495e-01;-1.3286348509162843e-01;-1.8837975808047050e-01;4.4613317865044200e-01;2.3505538046438493e-01;8.9966946162648276e-01;1.3204889058504905e+00
-1.7879641991225605e+00;1.2558716341608681e-01;-1.0565437129731672e+00;9.8695958853195459e-02;-1.8591146104948902e-01;1.0144356704705411e+00;8.5338013299732951e-01;5.4695752021125132e-01;9.2548823275462466e-01;-5.7001437013840972e-01;-3.2992471182861827e-01;-5.1749587773604799e-01;2.8468218310858256e-01;-1.9046498880025899e+00;1.4357760804824966e+00;7.2436785632469802e-01;-1.0059882542483833e+00;2.9822435254350577e-02
4.0135974377270112e-01;9.6407823007452931e-01;-8.2325035929591894e-01;-1.1111358216737219e+00;-1.4344272672745198e-01;5.5798890163591675e-01;1.1006332878361451e+00;1.0596009369995294e+00;2.9409296138478223e-02;-1.3855493320351513e+00;-9.5453643938462929e-01;2.1192767674553481e-01;3.5222606967804115e-01;8.9994011025332735e-02;-7.6354647263145980e-01;-1.6633222143330009e+00;1.3458749481879234e-01;2.5873991892233905e-01
1.3678255231152090e+00;7.1650152247049059e-01;-7.7346745529001681e-01;-1.1727362940340633e+00;-4.2264026936985216e-01;-1.3959893906457981e+00;-9.8144037647548188e-01;1.1994295428479926e+00;8.2554997819970766e-01;1.7123701889725882e+00;-9.5805516935705093e-01;1.4234468343206028e+00;-2.5241949603140423e-01;-3.5829692917763362e-01;8.5878384861249490e-01;4.4458102730314258e-01;-1.1261453281472751e+00;-1.3948711927174979e+00
1.0043431266393292e+00;1.8314839911125025e+00;5.1490324179791092e-01;-6.0166646121268585e-01;-8.6339281632692444e-01;5.8460515870027374e-01;4.2798329229100518e-01;3.4641326134089889e-01;-1.6716845466209445e+00;-3.0425614666587780e-01;-6.4279217169221048e-01;-1.0123932675832732e-01;-3.6715325911105828e-01;6.0429426791713370e-01;1.3282920023932052e+00;-6.3690865526013152e-01;7.2538433812492686e-01;1.0048343746026500e+00
7.4154838407726686e-01;5.3222800773246703e-01;1.2730293357727196e+00;1.2362584443902145e+00;6.0350151611180480e-01;2.8206630671102345e-01;8.2369848033880666e-01;-1.4790107314453589e+00;-8.8249060062833729e-01;-1.7551697032075488e+00;1.0329140521833966e+00;1.5128446618938707e+00;3.1964220837309279e-02;7.1542685994825184e-01;-9.8368029887587272e-01;-4.5000921331125709e-01;-4.7075428063597657e-01;-8.1225752968598441e-01
-4.3612337965035816e-02;1.0082971102194987e-01;1.4154941691862906e+00;-1.4839886808386457e-01;2.0588935792837271e-01;1.6744478685943847e+00;6.1361058342392111e-02;-4.5455793482582085e-01;-6.2577648403479014e-01;1.7738328449070311e+00;-9.4084689464965421e-01;-7.8687961431682885e-01;-2.1182415826769159e+00;7.7342782609541458e-02;7.4219468390625737e-02;-1.8002452661623708e-01;1.3866562943239108e-01;-3.7319229429967160e-01
5.3934467806783382e-01;1.0012755575660059e+00;-1.4666120702348853e-01;1.6878104709640140e-01;-1.6537842498013908e-02;3.8459189405415192e-02;1.7398681647486898e+00;-3.0184703132570967e-01;-9.5687715151492259e-01;1.4276756610563879e-01;4.8782279337159817e-01;2.6770600832706437e-02;1.7723641515173943e-01;3.9579520999258228e-01;-8.6148151583020072e-01;1.9435094390110315e+00;-1.2841885825079413e+00;-2.6920846144670713e-01
2.9995041327320021e-01;1.7372693175694823e-01;-7.2400711935976647e-01;1.6110018341682997e+00;6.1394820194084843e-01;6.5260076213994656e-01;-4.2336413274389956e-01;1.3101995857876640e+00;1.0094575261397405e-01;-5.1620101567970467e-01;1.7673400532288752e+00;8.7987081746587903e-01;1.1809990840377314e+00;2.8309545272723413e-01;-9.4427922367163697e-01;8.6755979865540470e-02;4.8468867797954707e-01;2.1581615447893279e-01
4.0771715787264406e-01;-8.8831048413216718e-01;6.3311448148808191e-01;-4.1269801092961933e-01;-4.1014938898751452e-01;1.1740871974436995e+00;-2.4266199334126595e-01;3.1753161692422949e-01;-1.2645530325792427e+00;-8.5545312233152215e-01;9.8660781933117869e-01;6.1275019397846409e-01;-1.1301626543906536e+00;1.1629517918568886e+00;-3.4269730435996676e-01;1.6731061528576380e-01;-3.3484578812808952e-01;-1.6686602009656057e+00
-4.8511195560000947e-01;9.0227622868754254e-01;2.3620109094069630e-01;8.3470026246191364e-01;-1.0875091477647620e+00;4.4053611571715973e-01;-9.0759007889889998e-02;-1.0440016437426788e-01;-6.9293835029529915e-01;-1.1031655346947806e+00;1.6374562275808766e-01;-4.9843104747405209e-01;5.2652526973616121e-01;-1.4086951972314180e-01;1.5831799956070982e+00;-2.3401580650292342e-02;-8.4365004866895979e-02;8.7783305836145176e-01
-3.8299201615804984e-01;4.4831105827812856e-01;4.6067637082851554e-01;-4.7675109258662546e-01;6.2680638505488651e-01;6.7708607519923270e-01;-1.0747310919161639e+00;-4.5764196255620077e-01;-8.3316801738524793e-02;-2.8892649801930881e-01;1.0915028453869253e+00;2.2189926233889862e-01;5.1369429515048293e-01;8.2479800679384441e-01;-5.7167983231604724e-01;1.2301722377955726e+00;1.2485873322041847e+00;1.2471223083236656e+00
-7.5281659912741927e-01;-1.8070576075902207e+00;-5.4847796374036070e-02;-4.7694799528154613e-01;2.8044346043455765e-01;2.6451561321463746e-01;-2.0852968173236036e-01;-4.2252704568543298e-01;1.7865777564194063e-01;4.8425753922018888e-01;-6.6498035269894962e-01;-2.9772767025008023e-01;-1.4485089540827416e+00;-1.5734620936079178e+00;-1.8467740983373615e+00;-1.7548304695306767e+00;-1.5235346334273552e+00;-1.9086422765091710e-01
2.5792642458131404e-01;3.3933957200290965e-01;2.3833196233902243e-01;6.2015373069997393e-01;-1.5390047658207248e-01;-4.0181411468617878e-01;-1.3784258508355609e+00;-1.1823433135561314e+00;-4.8553479370399832e-02;1.3004439033117883e+00;2.7119153257590256e-01;-1.3994928227962911e+00;1.2453902215851118e+00;-1.3298640838746121e+00;1.1713050304825492e+00;6.8489237689928695e-01;-3.9056390288367731e-03;5.0714006841747938e-01
1.9687596027732095e+00;1.9204917841536928e+00;-4.3053605765116582e-01;-1.4471691987056987e-01;-1.5166704947260163e+00;7.9331349281382635e-01;4.0770826445615488e-01;7.6686125754167472e-02;-3.9120360712316599e-01;1.3629505719697399e+00;-4.7933049632003658e-03;1.8531921711639235e-01;-1.4413933996623616e+00;4.1035000657957976e-01;-7.6476425038943219e-01;5.6569569117526242e-01;9.3082091907192055e-01;-7.0969917620213918e-01
-6.7129053308146580e-01;1.2645356439167407e-01;-1.5383043191773116e+00;3.0404105530231945e-01;5.8245826760129571e-01;-1.6380196376577776e+00;-5.2870784921072078e-01;2.7541539545700872e-01;-8.5808613905146702e-01;-7.2618798691813824e-01;-1.7036383321424473e-01;2.9994684754960838e-01;6.1650056758743166e-01;-1.0967929749332290e+00;3.8748074820504991e-01;-2.1221758817888045e-01;4.7665817777596681e-01;-6.5897289657720592e-01
1.8557922404430598e+00;-1.9476980105238786e-01;4.6041463360166540e-01;2.5102320042647364e-01;3.4794184700623659e-01;1.1680198121016887e+00;-9.9916800394991550e-03;2.2642482351742390e+00;2.5335508585460326e-01;-6.3665479400466862e-01;-5.7242205478885244e-01;1.0458897476980102e+00;-6.3752769633753636e-01;5.8993850215736783e-02;-6.9286334773845937e-01;-7.3104553663839811e-01;-1.0029235518929884e+00;-1.1187156348498346e+00
5.2159325602321872e-02;9.2129114869066653e-01;2.0594542662975934e+00;-1.0866632122346496e+00;4.7823666545361598e-01;6.5104678973613128e-01;-2.7757820033917702e-01;-3.6267931449350234e-02;3.0673542083826077e-01;1.2418270403080778e+00;-7.3514067765215163e-01;-1.1749932887121572e+00;2.4414648045143714e-01;3.4002167068210687e-02;-6.1504590406689846e-02;2.5036376822582285e-01;1.5859474129874971e+00;1.1354872184899529e+00
7.9044582463978696e-01;-7.2555041211387927e-01;1.2433012894745974e+00;5.9720409920056328e-01;-9.7032821404276981e-01;-5.4103229962341326e-01;1.1421713877712114e+00;-9.4368782671261398e-01;1.4610373941137345e+00;1.7121574992925068e+00;-1.0457381144473095e+00;-1.0149504549020496e+00;-3.8229841030593081e-01;1.0671232364309147e+00;-2.9244748994387341e-02;6.2279230958838849e-01;2.9284554939127727e-01;-5.5060009226133133e-01
7.1635255422489719e-01;-9.6151722063017830e-01;-1.7587362928597561e+00;8.5774315218733510e-01;-1.4532627073851268e+00;1.2258441876534802e+00;-1.5241855131410538e+00;5.4576430521540398e-01;3.0869373134627437e-01;-3.9519045999065672e-01;8.2164416039041688e-01;3.8481326351922551e-01;-2.3793864346632261e+00;-2.6051809682238020e-01;2.9236904218043841e-01;1.0340447437625595e+00;-6.4949944895032552e-01;6.9800808466978070e-01
-7.4362202015260692e-01;-3.0561370724841413e-01;5.4326288252567612e-01;5.9001279614584679e-01;-6.1841632170589611e-01;-2.9957504719491052e-01;-6.4391015280697994e-01;-1.3698601563227952e+00;-1.0617056860114031e+00;-2.7119460485913099e-01;1.8381333237288000e+00;-7.5316124841615473e-01;-5.3284112014362794e-01;-4.3428620197779200e-01;-2.9673150670706494e-01;-2.3016247363304654e+00;-1.0261396132545388e+00;-1.4365554501235358e+00
1.8435600073165376e-01;2.0128394303637087e+00;-9.4931576025331932e-01;9.8718486055887755e-01;2.9590908549477879e-02;-4.1058789586992045e-01;-3.1477909854684066e-01;-5.8457752116451966e-01;6.1958763544498252e-01;2.1043566384851173e+00;3.9878909547516267e-01;3.1206882531311726e-03;-8.9587169260980648e-01;-1.5306124795350506e+00;-5.5614886661889962e-01;-4.3113890747158806e-01;1.3790855969730048e-01;1.9455636730596651e-01
-1.5307344834443839e+00;-2.2596233601792934e+00;1.8826514308677398e+00;1.9804276470634286e-01;-5.5567982812727956e-01;-4.0917656527910090e-01;8.8613081233485907e-02;-7.0877657956984674e-01;-1.3893985838779461e+00;-5.9909101970131284e-01;-6.1902857350145002e-01;-8.7052411708054389e-01;2.3296973688233522e-01;-9.4616475999314631e-01;-5.0060516549815437e-01;-1.1777489488638757e+00;-3.8858100875488594e-01;-1.0349077030424944e-01
6.5502746097079767e-01;1.4903305803362674e-01;1.0853922837050427e+00;-9.3557568615030906e-01;-7.6011263503989412e-01;-1.6213896078428349e+00;-4.3157358323508122e-01;-8.1381741334542934e-01;1.7875549568583362e+00;1.5667305053492875e+00;-8.5910463287307878e-02;6.4190185390650012e-01;8.2025480972793596e-01;1.2677160490484721e-01;4.2877845251300140e-01;-3.1663912948852206e+00;-1.1463597997469679e-01;-3.0031578026562450e-01
5.3807149967995294e-01;6.3766571819466511e-01;1.0983895667974312e-01;-9.8925396036770763e-01;-1.0556372726363017e+00;-6.2220765749150775e-01;7.2850909905068273e-01;-2.3718215284404273e-01;1.1537361539984137e+00;-4.0253698023663825e-01;-4.6988176597213349e-01;1.3759909248412097e+00;1.5252593044311302e+00;2.6256109238831997e+00;-1.0697547467145467e+00;-4.1267500577649280e-01;8.0007727578682664e-01;-8.9647033574209778e-02
1.7382125977156171e+00;9.8449867922815171e-01;-4.3247311399206240e-01;8.9735682040171294e-01;-1.1156702835993921e+00;-1.1696464648241105e+00;1.9645028953483541e+00;1.0187012769634585e+00;2.4628991974701586e+00;-8.2438320109139618e-01;9.3798957187233045e-01;5.5267600873013767e-01;-4.4767390347002133e-02;2.0472631484279629e+00;2.3327283085508204e+00;-4.9368641525342227e-01;1.9515525008000365e+00;-7.2188910276922341e-02
-9.5872228034602758e-01;-1.6284044601392468e-02;-2.6892852862384270e-01;1.2478654471953692e+00;-1.0084705446531068e+00;-8.8965749683282003e-01;-8.2066215219345306e-01;-2.5147815126202433e-01;7.2052778463008638e-01;-2.0569068065138321e-01;2.4978021284318072e-01;-1.2671240058829440e+00;5.1361308560232810e-01;-1.3799789122239594e+00;-4.6029122892653498e-02;-4.1660263802509961e-01;1.9951639836755797e-02;3.4991512244575634e-01
3.7792213112817530e-01;8.4328308293061804e-01;-8.3105045987092085e-01;1.6123913213798280e-01;-1.5998732605266037e+00;1.0644313672652599e+00;5.1090849974377867e-03;2.3388498658969717e-01;1.2906805745386105e+00;-4.7308013256466458e-01;-1.6771125140568566e-01;2.8971708014102421e-01;-2.0572147743696609e-01;-1.4123428604184947e+00;-2.3132518362213710e+00;1.2788472069263976e+00;1.4713461813085169e+00;-2.0821846257411899e-02
-1.8100419485958591e-01;-4.1026339236975101e-01;1.4291518091451232e+00;3.3927266836121134e-01;2.5591801632511130e-01;-1.1312511323778487e+00;1.3242502245808829e+00;-4.1008402990040344e-01;2.5532043101225838e-01;7.3710638288330821e-01;-1.1513006422835599e+00;1.7964239977176663e-01;-1.6553678380392864e-01;2.1090842271247658e+00;-3.4173432097542217e-01;-1.7900915297116463e-01;-4.2195675690040013e-01;-9.5907124586847714e-01
1.6729651981107247e+00;8.3189456061486500e-01;6.2972681610526848e-01;1.9270110243525762e+00;-9.5583142694228485e-01;1.3577523833323740e-01;1.5791445839293277e+00;2.8079745919002663e-01;-3.0193474008726802e+00;-1.1146879219962518e+00;-1.4457693499121678e+00;1.5008739285364747e+00;-1.3252365373973480e+00;1.4756613463128379e+00;1.2083216790827569e+00;-7.4757293667926356e-02;-4.4364775266814510e-01;2.3750002049469523e+00
