"E_0";"E_1";"E_2";"E_3";"E_4";"E_5";"D_0";"D_1";"D_2";"D_3";"D_4";"D_5";"Rho_0";"Fpos_0";"Fnorm_0"
8.5966905428193838e-02;3.7176426673214630e-01;-1.6445241689045369e+00;-3.1468313168986944e-01;-4.6264533002415476e-01;-4.4492526456301740e-01;7.7898886318179705e-01;-1.9534922055074722e-01;-1.0749191639210208e-01;-7.6007278194975519e-02;-2.4009146674161186e+00;2.3740147328069103e-01;-1.1140047251494299e-01;9.2834004148298821e-01;8.2813743121919758e-01
-1.5419402459755922e+00;2.0922136810103122e+00;1.3070328857047295e+00;8.9450301365968887e-01;-1.0887330176341459e+00;7.5846774240953507e-01;-5.2526964073950499e-01;4.0104017394036275e-02;7.9899776646633314e-01;1.2241474944018300e+00;-1.3185379717393317e+00;-9.8943982312010834e-02;-6.7752872140473153e-01;1.4081983894448968e+00;2.3618007780935565e-01
-4.5027252986768246e-01;-5.9126668382253778e-01;-2.7268482995263232e-01;1.9251826593307642e-02;-2.8226309745321854e-01;1.0751015777742816e+00;-1.1115101321339656e-01;3.9116798773606393e-01;-9.4425044071547415e-01;-1.2458871996782428e+00;2.2702040797297238e-02;-1.1396011580802741e-01;1.1109393288958955e+00;-7.9163173215266647e-01;-9.9814101609982855e-03
4.5765858945008642e-01;-5.0812612599367601e-01;-6.5022647480250817e-01;-1.1001941561119684e+00;-8.8003275603103037e-01;-4.3684684131924895e-01;-2.7315947563938314e-01;2.5510624080361005e-01;1.6260143410448866e+00;-3.0403968479876259e-01;4.2984887791681986e-01;7.7830991490233203e-01;1.0761154248318077e+00;-9.0947238101697858e-01;-8.8137294603658900e-01
-1.4109316258527915e-01;-6.8570939680434861e-01;-1.5240738673985685e-01;4.1939914478829748e-02;1.2154154515056887e+00;-5.2218875965128198e-01;2.3225514117923693e+00;-7.6959681466126739e-01;4.8698695417308524e-01;4.7872012088107574e-01;-5.5363458595660175e-01;-3.1134123891143217e-01;-1.4317457406988052e+00;1.1859253486529878e-01;-7.7611802247816286e-01
4.1979439288196829e-01;-6.6432529957889863e-01;-1.1014689220180753e+00;2.6795775092622764e-01;-6.9895130102039030e-02;1.5231102667286039e-01;-2.9110983438458207e+00;-6.4951286713590281e-02;-1.2879983942334969e+00;5.9827298289539554e-01;-2.1359627416542515e-01;7.9163893904004112e-01;-6.7649278216030395e-01;-1.0366184004687212e-01;-4.9936999307225149e-01
-5.1039092688638343e-01;5.7524617168371506e-01;-4.5994155885183290e-02;-1.1887311396788254e+00;3.3662007555762852e-01;9.6298406443163476e-01;-4.7034783066359465e-01;6.5475930335418353e-01;9.7834929735835519e-01;1.1259291051179238e-01;9.7760884193835706e-01;6.0262524188705524e-01;5.3085272008379925e-01;-6.3038608611150493e-01;5.7239546345630321e-01
1.7284627977150420e+00;-6.5873281908363057e-01;-8.3772748152368987e-02;1.6517648481675506e+00;4.7729188727306504e-01;9.1214608613394851e-02;5.5735495129831836e-01;2.4843887830090020e-01;-1.4806646435196971e+00;3.2113040128768316e-01;-3.8735263486733462e-01;7.1799064021892578e-01;9.0981366461006952e-01;2.4394079441264510e-01;-1.2235621939036687e-01
-7.2473721666087021e-01;5.3712876197490933e-01;-1.8919409415659725e+00;3.4161399972918827e-01;-4.8882596388873623e-01;-3.7402461894510221e-02;-3.1770022964390704e-01;-5.3554256278270269e-02;9.1210769469470043e-01;-3.4125707578431042e-01;3.6810973594373880e-01;-4.2769545090112115e-01;1.4946299451857334e+00;-2.0443919660629378e-01;-4.7000561405063646e-02
-4.8927099313466987e-01;8.6456205378023199e-01;-7.7757352033351967e-01;4.2472821014027090e-01;-1.2324326118907727e+00;-1.3442545452773538e+00;1.4590030221935941e+00;-2.6422232317566963e-02;7.7745428505450764e-01;-3.0559288234515347e-01;-1.0933135509177188e+00;-1.6188064620069595e+00;1.4813549514566180e+00;1.8217749833418539e-01;2.3717477795686287e-01
5.2731666395632026e-01;-9.9117170641256447e-01;-1.2789463898994935e-01;-2.5875864964749090e-01;5.2024030274624355e-01;9.6672292670012583e-01;1.1194991516452917e-01;-2.1415147679553370e-01;-8.8539123057221647e-01;-1.3088137738027126e+00;-9.8529442060291794e-01;5.0332236564870503e-01;-8.4702049881954955e-01;1.1705371665741948e+00;1.3577333551507007e+00
9.5903296431227580e-01;1.9068754885776515e+00;8.2291488412197855e-01;-1.1521420454532358e+00;1.8305384804178140e+00;-1.7531688890025698e+00;4.5654024683859501e-01;-9.6019778325662788e-02;-1.7932220397862966e+00;1.2163114579201566e+00;8.7250012587165215e-01;-2.2546794613752841e+00;-1.6189420493944015e-01;-2.7675997626033244e-01;-1.8556109398420366e+00
5.9130168010628714e-01;2.2214378776521229e+00;7.9643864308212231e-01;-2.0538646918158201e+00;1.9110280044832570e+00;-8.1417820895244253e-01;-1.3586548922798949e-01;-1.4823306179784473e-01;2.2624653633190355e+00;3.6221726485417233e-01;-4.7528594835099985e-01;6.7299380327618041e-01;8.5458501860459679e-01;-1.5187336796257043e+00;4.9281110721115717e-01
1.4525257087122838e+00;5.5913712732048149e-01;2.5458973011445946e-01;6.6414949578860427e-01;-1.0351714643569982e+00;1.1154660423320936e-01;-4.9508813288485837e-01;-1.3832200909492578e+00;-1.2914641812448242e+00;-1.4735044079617410e+00;9.0965592294877917e-01;5.5002421971382431e-01;-1.1386888407156328e+00;5.7370760697816403e-01;-6.4964661938908819e-01
-8.0513683109924405e-01;-1.3164617663715172e-01;6.4657553412773983e-01;4.7171712752189049e-01;3.2681605818488429e-01;-4.6532251814426412e-01;-1.1523122773888024e+00;-2.3465479998248957e-02;5.7219868184284339e-01;7.9911458595868901e-01;-5.7494717514307729e-02;7.1740977960431362e-01;-4.4429859712255865e-01;-8.6394364684105118e-01;-3.0552626966471824e-01
-9.4244199202985962e-02;1.2859127023996184e+00;-1.8246263820216533e+00;5.0173515276229867e-02;6.3182740330335341e-01;5.1237986606136743e-01;-1.4931398448306734e+00;-4.4200334059838808e-01;5.7343653260593441e-01;1.3195826372389283e+00;-1.7853802353197534e-01;8.0835062689773063e-01;1.4771616078725611e+00;-8.1550694929075629e-01;-2.4391638737360793e-01
-3.3412407527546639e-01;7.9545533874799179e-01;-7.6060252623539970e-01;3.5206025621228731e-01;-4.9684388061100709e-01;-4.6919279287012711e-01;6.2696558393796187e-01;4.1238079424041196e-01;6.4746003631433802e-01;8.0689322933338359e-02;1.9519983154672675e+00;5.0917480998150288e-01;5.4012551642163953e-01;1.2429685562037129e+00;9.2902923858160791e-01
-1.0687774480557732e+00;5.1660778720550349e-01;-6.8711221037562997e-01;8.4097755707946364e-01;-1.9758881562335534e-01;1.1576051089267450e+00;-6.8383479025807756e-02;1.9670289772869110e+00;-5.9753006468548409e-01;-8.2927047468531620e-02;-6.4599119908896796e-01;1.5371018803588846e-01;-5.8738492714290791e-01;9.2087825248731370e-01;-4.4463057556574931e-01
1.1085365567181653e+00;1.3534348899839976e+00;9.9490752871527044e-01;-4.8597613551823127e-01;-2.1625990712574733e-01;-7.1126775179961976e-01;-1.2957030061868526e+00;3.7524796869625177e-01;-5.5338980607574462e-01;3.0845325723911227e-01;-5.3133316091091509e-01;-1.3935699375343471e+00;6.1265229725499870e-01;-4.7387928757895503e-01;-1.3058086117227758e+00
-5.8428647414138024e-01;4.4974936797091475e-01;7.2403113116515694e-01;6.4846736514490089e-01;4.4254822646542258e-01;1.7869339925985692e+00;7.1656664778222201e-01;-7.0634761474464833e-02;-1.6944779674924672e-02;2.0353296206432900e+00;2.1948731800152710e+00;1.7603369006584813e+00;7.7513686898396283e-01;1.0749509978071506e-01;-8.7202406759467910e-01
1.9440536804679411e-02;-8.0412828911968337e-01;5.9106697379237949e-01;4.6670853091323772e-01;-4.2497436560180363e-01;-2.1474477830314362e-01;-1.8955662573224202e-01;2.8087796293421992e+00;-9.8051483753113478e-01;-1.2993169294192748e+00;3.8184675165367971e-01;5.8696174781229438e-01;5.3792875627373471e-01;-1.5564938843721519e+00;-1.9175597119721914e+00
1.5267096292797915e+00;2.6492988504496804e-02;1.7257136653090761e+00;1.5965905978348741e-01;-6.9151122429524303e-01;8.1614668925273515e-01;7.8832564521726878e-01;-2.2698491322110315e-01;2.0964265974378699e-01;-7.8295896604852122e-01;2.1491407429458234e-01;-1.8915128606417883e-01;7.6856895768410746e-02;2.5100026727018532e-01;-9.9327935168473125e-01
-6.3560984970316237e-01;3.3861762588410527e-01;-1.6571897686923482e+00;-1.0722706968983993e+00;7.0489634216336106e-01;1.7006350955961245e+00;-4.1563533751314402e-01;-4.3061763431139416e-01;4.6789203784220212e-01;6.6399739216379244e-03;5.9752881300154881e-01;3.5440647719280038e-01;-1.1214560147835677e+00;-1.3421741385929213e+00;6.8816154695610851e-02
1.5110627399541841e+00;2.7059933754690446e-01;-9.3210998894365649e-01;-8.0183211061951587e-01;-2.2543899191637307e+00;2.0846259934755312e-01;9.8234351590329461e-01;-1.0035816795852677e+00;1.0274999005582457e+00;9.3967818003471537e-01;7.4893703689727265e-01;1.7168031046541171e-01;1.9309969186375888e+00;1.0405773876219064e+00;-3.8195688514829407e-01
-4.3342372315259386e-01;3.4077083859648369e+00;5.2104439839162742e-01;6.0124543926462848e-01;-5.4259885545095732e-01;3.2014751888145843e-01;1.1850445596812633e+00;1.7754742086920905e+00;6.6512327489305356e-01;2.7371048571549661e-01;7.3901825957998679e-01;1.7307899623479648e+00;1.5769311785323988e-02;-3.0309623989497336e-01;1.0046449740366369e-01
-1.7599718079503905e+00;-6.1167123390269740e-01;-1.5613717534804825e+00;-7.2635057003367851e-02;2.4416381086846517e-01;9.5140839101151897e-01;1.2717839597720584e+00;-1.2131731853500214e+00;-2.1963802466749320e+00;2.3154466283542011e-02;9.6248724020897114e-01;1.3733343356463701e+00;-6.2397382069332419e-01;4.7890992415214641e-02;2.5988441984419064e-01
8.0546609393323132e-01;-6.3325320697149745e-01;-9.1140185365970272e-01;1.1549415965240599e+00;3.4411203732696079e-02;1.3624421784088430e+00;1.1679675727126093e+00;1.0841266708193862e+00;-6.6282520245408971e-01;1.2748472630457008e+00;-4.4707975490968294e-01;1.7522793895579925e-01;5.0227032458942933e-01;8.9200481039117707e-01;1.4997896456087352e+00
6.8628308265590765e-01;-7.2924653279555773e-01;-5.1638486972361153e-01;8.8988407000663672e-01;-6.8976521750063280e-01;1.1747181149344634e+00;7.1798670483136307e-01;-1.1742351401442022e+00;-3.1762206248188962e-01;-7.0252731291370296e-01;-1.0219007236606652e-01;1.0045289886608675e+00;8.1831898463902764e-01;-2.6902263212190802e-02;1.6242908391932096e+00
-2.9207096372387009e+00;2.1431403186613282e-01;-1.4068784817241900e-01;-7.0286090512509447e-01;5.4806319552219462e-01;1.3611812691623876e-01;-2.6196763878616741e-01;-2.0498435851456923e-01;8.8401715791651048e-01;-1.6160533495102880e+00;-1.1850256191374746e+00;1.0002168659584856e+00;3.5448366520250101e+00;5.1486446599643387e-01;-5.2016647187438189e-02
1.6128965554079175e+00;1.0755216664022071e+00;-2.5976892137846680e-01;-6.2351392791632521e-01;2.6237125550323870e-01;-7.7403425949295390e-01;-1.2544098659611942e-02;2.0327237778976240e-01;-1.0769463656023695e-01;3.7810144546989510e-01;1.1796103250711272e+00;-4.1466716940838916e-01;-2.1315840815884188e-01;-1.1754436355733595e+00;8.6350589239602538e-01
2.8467780443478369e-01;-7.4979217203745896e-01;-2.1374621864744042e-01;-8.5199425541102625e-01;-2.9245339645773960e-01;-6.9879231322993485e-01;-1.3971921397834099e+00;2.7639237309473030e-01;-5.1143144518019923e-01;-8.2645202144668098e-02;1.1294083768079450e+00;5.1593725410835227e-02;-2.0203744742567964e+00;1.2108537618605812e+00;-8.6353721094446034e-01
1.1005683181777652e+00;-1.3756804361482025e+00;-1.1987165031316771e+00;8.5283716281831484e-02;1.0643654308694421e+00;1.4569276824482498e+00;-6.3789983172236497e-01;-9.4292223752948723e-01;-1.1176965645125063e+00;-1.9242559053010795e+00;1.1036290944835960e+00;3.8551967000390858e-01;2.9642624617274342e+00;1.1381745916208519e+00;2.2866989497429082e+00
-6.3034773960339141e-01;-7.5538270759254422e-01;-3.2328115578748276e-02;-3.0219300341489513e-01;-9.8607798065995372e-02;-6.2071449449417027e-01;-2.2550479716542609e+00;1.8922661787307130e-01;3.0408592335699264e-01;4.9173975017141097e-01;-1.6937412937697549e-01;-2.0994364298968784e+00;1.0777796804411854e-01;3.5384459664006562e-01;-5.1891065767645062e-01
-1.0129079819604754e+00;-3.3966615048928067e-01;8.8557867515675504e-01;1.0465763739579255e+00;1.7949856774092541e+00;1.2863562068610497e+00;1.7780294046158864e+00;-1.7865977814962606e+00;-1.4561984138013562e-01;7.7227632873757668e-01;9.6552813064971030e-02;1.0406967712105746e-01;-1.6708650553562199e+00;-4.7520984558029461e-01;8.9535975028272774e-01
1.4457558373814211e-01;1.4080868746781592e+00;2.0315423499633795e-01;6.1553285991591000e-01;-1.8511893929995791e+00;1.8439408814446998e+00;-1.5134961478559009e-01;-6.4377913818156030e-01;-5.7030169657863131e-02;-6.2953152911862598e-01;-1.3927284001121656e-01;2.5657633139448119e+00;-1.0979080677883204e+00;2.5243675798449817e-02;-8.1320661543103734e-01
1.5519772728338197e+00;-1.2415794463871035e+00;-1.3717684941774311e-01;1.5781853077575181e+00;-1.0994399507857855e+00;4.3481256486467383e-03;1.4082999969427372e+00;5.8863377482998268e-02;-1.8113173237435937e-01;1.9149979547613438e-01;-2.1913208924204083e-01;2.4994432202101421e-01;-1.0812295726171539e+00;-1.9116709947293933e-01;2.8560346096837974e+00
-6.7118600937632666e-01;-1.7630255856187158e+00;5.9696698863484421e-01;-2.6960055197897409e-01;-1.3602194348030841e-01;-4.0363055658799835e-01;-4.4027719428027262e-01;-8.4086208481378533e-01;1.5536806448390681e+00;-2.0322654126303328e+00;9.9761210466864758e-01;-9.2002683469874280e-01;5.5410926338225275e-01;7.0231328396446513e-01;-7.8655876608276243e-01
-5.1897551639656159e-01;-3.0435455609576262e-01;5.5911431834842526e-02;-5.3370301865167402e-01;-9.6650518517124293e-02;5.7567530279300583e-01;6.3065097961038841e-01;-1.4480476824416907e-01;-4.3703777058661269e-01;3.7407660560443499e-02;8.5134371884524274e-02;-5.1953648485803816e-01;1.1022334231316360e+00;-5.9991719852890246e-01;-3.7869062456552421e-01
-1.4457701225348789e+00;-1.4787902271884987e-01;-2.3555485763637747e+00;-5.1117305302839977e-01;-9.8133471384974447e-01;-4.8964252680459930e-01;-1.2200632978046557e+00;2.0291499879381676e+00;1.9406858112389394e-01;-8.9988525199955227e-01;-3.1523378024697163e-01;7.2138791257644375e-01;2.0261080981895545e+00;9.0612128090434774e-01;5.5038857237285144e-01
-9.8257248966495292e-02;6.9098623466184006e-02;-1.7704885190204183e+00;-3.4771558604235231e-01;-2.6441768111379460e-01;1.5431264202367367e+00;9.5048376969635218e-01;-8.3196820790844395e-01;1.7101618500065703e+00;2.1593946693119334e-01;-3.0529737744225827e-01;8.8693965552234411e-02;1.7486011251667435e+00;1.4024058038129941e+00;2.6374719179204855e+00
-2.0559707257451647e+00;2.5770470823942215e-01;9.3463727996931145e-01;-1.3590272826850522e+00;1.0661963910086976e+00;-1.1139951680862386e+00;-4.8297532829169953e-01;-5.1172924813987830e-01;-3.5153556407316378e-01;-8.1251696837565457e-01;1.0363229480410248e-01;-1.2480552029010723e+00;1.0793874918051716e+00;8.0029808310591366e-01;2.3182437169092576e+00
-3.0531024906180915e-01;1.6221669847668467e+00;3.0451293010345204e-01;1.1919036609663818e+00;7.0442008015130031e-01;-3.2667698657070271e-01;-2.5945001747129535e+00;-3.8938931625886036e-01;6.2381466583899803e-01;-7.6112640170140511e-01;9.0180761270795079e-02;3.0309433260823704e-01;2.1148272865515074e+00;1.1729225155662781e-01;8.9631121633906652e-01
-6.8871678740121789e-01;-5.3106934661087535e-01;-1.2084429837919823e+00;4.8195309298591518e-02;-8.6652186776806794e-01;-1.9677102294839932e-02;1.4521727491379122e+00;8.3972218857323044e-01;9.7534560965766193e-01;-7.5585187554197963e-02;9.4993113389466699e-01;4.9218848091584977e-01;8.9557890424014752e-01;5.5884491760295862e-01;2.9268120844417828e-01
-2.1514543824010732e+00;-5.3839512914388599e-01;3.0604130265073187e-01;-9.2658021886810549e-01;1.8574333561759562e-01;1.0476220704675188e+00;-9.1443810796404468e-01;-3.4048336011743419e-01;-2.4155208935448962e+00;-2.0538513731075192e-01;-2.6293000462631932e-01;-5.9147803420920775e-01;-3.7836177235814522e-01;1.1985774304206704e+00;1.4130354045586928e+00
-6.2176478669453816e-01;3.7190998540621301e-01;-6.5760279246655517e-01;-1.1685205811857675e+00;4.6468191568425860e-01;-3.3233555074514215e-01;1.0444188557893210e+00;-8.5371114375407442e-01;-8.6265995654462846e-01;-5.3196184333722496e-01;1.1642083338022646e+00;3.4221028053572872e-01;2.0734127592796647e-01;-2.1860644947328139e-01;1.6149391256723622e+00
-2.5001446339517325e-01;-2.8644058129064820e-01;8.2125403154260679e-01;-5.6539993402263988e-01;5.0384584388394826e-01;-2.8196107325088486e+00;2.6692255901387165e+00;-5.8819387475092515e-02;3.6122402241934110e-01;-4.4693008371053711e-01;-7.5725797809422013e-02;-2.1997970332917899e-01;-1.0544153008305726e+00;2.2583657289765519e-01;1.6934545441308411e+00
5.1838917024990439e-01;7.8020732171623766e-02;1.7928008217844518e+00;1.5677669686424775e-01;2.1652460602006169e-02;7.9060565083993128e-01;8.5802238136966458e-01;2.3317228504953375e-01;2.4348718068111344e-01;-9.4170462092273102e-02;5.3775109143585020e-01;-4.7147452663380413e-01;-2.9763853865824208e-01;8.4565257462210497e-01;-1.3782147697244387e+00
1.4025376519875872e-02;-3.9058425132567465e-01;1.6050817182960448e+00;2.0430897016664951e-01;-3.4199844502655702e-01;6.3480170741828634e-01;1.0936349325076016e+00;1.0985246897787262e+00;-5.4880721221534301e-01;-1.1475719131468467e+00;-1.0281073107553886e+00;-4.5603236835050820e-01;-6.4601934212810663e-01;2.1371842766162180e-01;5.0596835873371593e-01
7.0311726485281612e-01;-1.8246510700987476e-01;1.2348974382365550e+00;1.4765378377663638e+00;-1.5029939364145655e+00;1.3982442929517234e+00;2.1195743948222683e+00;-1.8119198036931889e+00;-2.2909763060264707e-01;-1.1067889394264236e+00;-5.9403020452443778e-02;-3.2577269113407659e-01;1.0420827049040911e+00;-2.4776621189996501e-01;2.9296525126988615e-01
-1.9379101655861184e+00;-4.9273661197974945e-02;1.9843665837591427e+00;1.3045829939029672e+00;7.8348338761753422e-01;1.5461770903024499e-01;-6.5233948479229545e-02;4.2435807394998026e-02;4.8239281063986283e-01;6.0605376759386353e-01;-7.7204999647190742e-01;7.1204894034585187e-01;5.7353126490581374e-01;-1.1114882562466084e+00;1.6918706807034185e+00
7.4657160157780386e-02;-6.4816807507159224e-01;6.7290168133041295e-01;3.6473287859593667e-01;2.3425617005263511e-02;1.0971972516850821e-01;-8.9200131301669183e-01;-1.0369407554830369e-01;6.4982798992999624e-01;1.2752685706188251e+00;-3.0105252766633273e-01;1.0966136089080745e+00;-5.9147517882232969e-01;2.1650986597605515e+00;-1.0736476468589489e+00
-4.0424969264966742e-01;-1.7365323086715694e+00;-1.2594811250934571e-01;-3.7888206677289732e-01;8.2068248244933062e-01;8.2998392283807498e-01;2.8597619950480890e-01;-5.5056530798084724e-01;-4.4649619596025120e-01;-1.4126581899130173e+00;7.3940704576633032e-01;-4.0839772165149058e-01;7.8495909136453246e-01;-7.7536367398300454e-01;-2.3687964277465370e-01
-1.7989836779567054e+00;9.4441435090884518e-01;2.8215148640673754e-01;-2.4053996671777642e+00;1.4483009607668549e+00;2.8159036061548309e-01;-1.7110232361447442e-01;-1.6868241466117684e+00;-2.8618314199498524e-01;-2.5424106120813572e-01;4.3077296605957320e-02;2.0425359688244576e-01;7.1200585064627786e-02;1.0027498186887540e+00;-7.4620145338127319e-01
-8.1478814476328731e-01;-7.5091815532752992e-01;-1.7413642744732842e+00;-8.4956888206791514e-01;-1.5075123969015740e+00;1.2314492513057471e+00;-6.3193697433165874e-01;2.4104232675149655e-02;-2.7060835309857317e-01;6.6894771479155168e-01;1.7334369794717088e+00;-2.9774090255906421e-01;2.1187602514855597e-01;-2.0596073913373750e-01;-7.6819049889877611e-01
2.6923417288031559e-01;-4.5164231459763127e-01;-8.0234133329625490e-01;8.2219028577353592e-01;1.2648311865844342e+00;-2.5442581164852818e-01;-3.2569972308871986e-01;-1.2280677381416056e+00;1.6821519486575148e-01;2.3866610962660870e-01;7.1088877972187636e-01;-4.0792776526923497e-01;-3.8985311799740019e-01;-5.3865422001431573e-01;7.7764654615857720e-01
-9.5701689764926767e-02;1.3045180799831468e+00;-3.0479561887061840e-01;-1.2509670589280314e-01;1.6493553025722141e-01;-4.5586085041858926e-01;4.9709944031025166e-01;-1.2709704002301021e+00;-1.0593995514239805e+00;-2.6758851297060415e-01;-6.2907318383749145e-01;6.7592157462878166e-01;-1.5964847872246963e+00;-8.2417842596992852e-01;-9.0134220034584933e-01
-2.6261575962430650e-03;-1.7602952272322039e+00;1.3416528755351007e+00;1.6151179403817892e+00;1.0347193442488447e+00;9.8189071967842567e-01;9.8274051849833299e-01;-5.6185224120931365e-01;-6.4123237349208140e-01;2.9991721810902949e-01;-1.4478111972769976e+00;-1.8551412120273876e+00;2.7687812045364066e-02;4.4156943842329976e-01;1.1026867807192677e+00
1.7899960055666572e-02;-7.1649144540311305e-01;-1.0835981550273012e-03;-1.8281657475249096e+00;4.7701471236678844e-01;1.3834297891354277e+00;-2.1964803480387005e-01;-1.5746687281955103e+00;2.2888789678491347e-01;7.8631087068109295e-01;-1.0176121599484736e-01;4.7817015592623503e-02;3.9444918521464833e-01;-5.2355697351337216e-01;-1.3892059632834199e+00
-1.4680203763291708e+00;7.0049910166979779e-01;-1.3930212708136152e+00;1.8949581834349871e+00;-1.3527674398003369e+00;1.8716085001351981e+00;8.2259520309651413e-01;8.8660882722469858e-01;-1.2602748926973535e+00;-2.9512477002706894e-01;1.6029784065509158e+00;-4.7429442689197521e-01;-6.1340471232238104e-02;-2.1336734692511777e-02;6.7451632960589625e-01
-7.7556446502550336e-01;5.8233901875266969e-01;1.7014331375785747e+00;-1.0064907911889356e+00;1.1355898275622167e+00;3.3044088997590826e-01;8.8742732448062311e-01;-1.0277259354750454e+00;-2.3281481651869890e-01;-5.9996878304023213e-02;3.2279379361035693e-01;-1.5762225334384719e+00;7.5281223579074930e-01;-1.0638870023089826e+00;1.7855391412938787e-01
-1.0816247350170527e+00;-1.2730315719620449e+00;-5.2631097965690904e-02;4.3094590326225379e-01;-1.3190538133933862e+00;-1.0117215700649262e+00;-9.4987170295677481e-01;-1.3700146206048063e+00;3.2613559544190440e-01;4.3316394617322918e-01;1.8437528245674542e+00;3.8901183611532270e-01;6.1417937908537712e-01;-1.2643267154005027e+00;-1.6564768377596397e+00
-7.5354694897940289e-01;-1.4918918539109610e-01;8.7190033421850066e-01;-1.6184033658513319e+00;-9.2684376575284155e-01;-2.6099957077329455e-01;9.3380117038483679e-01;5.2676581315755144e-01;-5.3459167929661677e-01;-1.0608664592041193e+00;1.5499593367432001e+00;9.5741277847098016e-01;4.0919464545474453e-02;1.5214682065488427e+00;-4.0624476539756560e-01
-2.1157629801863256e-01;4.5875299033001971e-01;-6.3447098555337422e-01;-8.6887616977597171e-01;5.8295709187439027e-01;7.1332347738422563e-01;2.0714839947470054e-01;7.2393578539763370e-01;-1.1550093282477808e-01;7.5139580008433585e-02;9.7924234045100977e-01;1.3450693235648088e+00;1.4492190982475899e+00;9.8093757415390759e-01;1.9782643126055655e+00
